_Irene_Rivera,C's
Albert_Rivera,C's
CarlosPracht,C's
CiudadanoVille,C's
CsFernavarro,C's
diego__clemente,C's
Dlorenzo54,C's
Elena_Faba,C's
EnriqueBueno_,C's
fidel_prieto,C's
FMauraB,C's
FranciscoIgea,C's
FranHervias,C's
frdelatorre,C's
GirautaOficial,C's
JoseLM_Aguilas,C's
LuisSalvador,C's
MarcialGoBal,C's
martamartirio,C's
MartaRiveraCruz,C's
MGutierrezCs,C's
MiguelGaraulet,C's
Momosue8,C's
mrhciudadanos,C's
nachoprendes,C's
onesimoeduardo,C's
PatriciaReyesCs,C's
pepecanonucia,C's
RodrigoGomGar,C's
saulCiudadanos,C's
sdelcampocs,C's
Tonicanto1,C's
toniroldanm,C's
VicenteTen,C's
Vickisalmeron,C's
yanez_pablo,C's
anioramas,CCa-PNC
antonipostius,DL
carlescampuzano,DL
elenaribera,DL
Ferran_Bel,DL
franceschoms,DL
jordixucla,DL
lciuro,DL
miriamnoguerasM,DL
AITOR_ESTEBAN,EAJ-PNV
jagirretxea,EAJ-PNV
MikelLegarda,EAJ-PNV
PedroAzpiazu,EAJ-PNV
marianbeitia,EH Bildu
_mundus,EN COMÚ PODEM
ainavs,EN COMÚ PODEM
felixaltafulla,EN COMÚ PODEM
jaumemoyam,EN COMÚ PODEM
joanmena,EN COMÚ PODEM
Lucia___M,EN COMÚ PODEM
margpuig,EN COMÚ PODEM
Marta_Sibina,EN COMÚ PODEM
mrenau,EN COMÚ PODEM
vendrellj,EN COMÚ PODEM
XavierDomenechs,EN COMÚ PODEM
anasurra,ERC-CATSÍ
capdevilajoan,ERC-CATSÍ
estercapella,ERC-CATSÍ
gabrielrufian,ERC-CATSÍ
JoanTarda,ERC-CATSÍ
jsalvadorduch,ERC-CATSÍ
TeresaJorda,ERC-CATSÍ
xavieritja,ERC-CATSÍ
imoblanca,FORO
abrazopartio,IU-UPeC
agarzon,IU-UPeC
ecoingeniero,EN COMÚ PODEM
Ainhat,PODEMOS
Alber_Canarias,PODEMOS
amonterosoler,PODEMOS
AmparoBotejara,PODEMOS
anamarcelloana,PODEMOS
AnaTerron_,PODEMOS
auxihonorato,PODEMOS
belen_guerra,PODEMOS
CBescansa,PODEMOS
dbravo,PODEMOS
edumaura,PODEMOS
gloriaelizo,PODEMOS
ierrejon,PODEMOS
ionebelarra,PODEMOS
Irene_Montero_,PODEMOS
IsabelPodemos,PODEMOS
J_Sanchez_Serna,PODEMOS
JA_DelgadoRamos,PODEMOS
jpyllanes,PODEMOS
juanmalpr,PODEMOS
juralde,PODEMOS
martadzalz,PODEMOS
MayoralRafa,PODEMOS
meripita44,PODEMOS
NaguaAlba,PODEMOS
Pablo_Iglesias_,PODEMOS
pascualsergio,PODEMOS
pbustinduy,PODEMOS
PericoArrojo,PODEMOS
rosam_equo,PODEMOS
Rosanalonso_10,PODEMOS
Segundogg,PODEMOS
SofCastanon,PODEMOS
VeraNoelia,PODEMOS
VickyRosell,PODEMOS
_ABallester,PODEMOS-COMPROMÍS
casanyeta,PODEMOS-COMPROMÍS
EBataller,PODEMOS-COMPROMÍS
IgnasiCandela,PODEMOS-COMPROMÍS
joanbaldovi,PODEMOS-COMPROMÍS
RitaBosaho,PODEMOS-COMPROMÍS
rmartinezdalmau,PODEMOS-COMPROMÍS
aKollontai,PODEMOS-En Marea-ANOVA-EU
david_bruzos,PODEMOS-En Marea-ANOVA-EU
PamPololos,PODEMOS-En Marea-ANOVA-EU
tone_corunha,PODEMOS-En Marea-ANOVA-EU
Yolanda_Diaz_,PODEMOS-En Marea-ANOVA-EU
Aglezterol,PP
AlfonsoAlonsoPP,PP
AlfonsoCandon,PP
AliciaSCamacho,PP
anamadrazo61,PP
anapastorjulian,PP
angeles_isac,PP
angeluisgonza,PP
areynes2,PP
barrachinam,PP
beatrizescu,PP
belenbajo,PP
BelenHoyo,PP
CarlosRojas_PPA,PP
CaronteAyala,PP
Carre1Ascension,PP
ChiquilloBarber,PP
CnLacoba,PP
ConchaBravo,PP
cromeroher,PP
de_santa_ana,PP
DolorsMM,PP
elenaalvsimon,PP
elenabastidasb,PP
emilio_delrio,PP
gmariscalanaya,PP
IMendezdeVigo,PP
ja_nietob,PP
jaimedeolano,PP
Jefernandezmoya,PP
jlayllon,PP
JMGarciaUrbano,PP
jmsoria,PP
joaquintorrevie,PP
jordiroca,PP
juanBravoBaena,PP
juanviperezaras,PP
JVMariBoso,PP
lbarredaPP,PP
LoliMarcos,PP
LoraCascales,PP
mapaniagua,PP
